Geneid	Chr	Start	End	Strand	Length	R5_Solid1_counts	T3_CS1_counts	350_Sco1_counts	T1_CS2_counts	T3_PS2_counts	T4_PS1_counts	T4_CS2_counts	T1_PS2_counts	T3_PS1_counts	T1_CS1_counts	T2_PS2_counts	350_Sco2_counts	T4_PS2_counts	T1_PS1_counts	T2_PS1_counts	T2_CS2_counts	CTT_Sco1_counts	T2_CS1_counts	T4_CS1_counts	CTT_Sco2_counts	T3_CS2_counts	R5_Solid2_counts
SCO1738	NC_003888.3	1855025	1855990	-	966	14.0	104.5	146.5	2.5	87.5	66.5	148.0	6.0	107.5	3.5	82.0	131.5	74.0	103.0	64.5	34.0	0.0	20.0	221.0	1.0	130.5	19.0
SCO1739	NC_003888.3	1855990	1859544	-	3555	59.0	284.5	444.5	17.5	300.5	252.5	407.0	7.0	342.5	6.5	208.0	412.5	213.0	308.0	198.5	81.0	7.0	59.0	723.0	9.0	383.5	99.0
SCO1740	NC_003888.3	1859718	1860779	+	1062	219.0	3.0	0.0	0.0	3.0	4.0	0.0	1.0	0.0	0.0	19.0	1.0	0.0	94.0	17.0	6.0	1.0	1.0	16.0	3.0	37.0	243.0
SCO1741	NC_003888.3	1860900	1861979	-	1080	18.0	34.0	16.0	4.0	39.0	44.0	16.0	4.0	27.0	5.0	41.0	15.0	33.0	58.0	34.0	15.0	5.0	8.0	35.0	6.0	26.0	38.0
SCO1742	NC_003888.3	1862249	1863166	+	918	105.5	58.5	24.5	33.5	114.5	103.5	85.0	19.5	119.5	14.5	94.0	29.0	106.5	104.0	77.0	58.5	36.0	47.0	142.5	34.0	159.0	146.5
SCO1743	NC_003888.3	1863166	1863882	+	717	82.5	106.0	29.5	49.5	138.0	138.5	113.5	19.0	126.0	14.0	167.0	28.0	161.0	104.0	131.0	84.5	30.0	66.5	222.0	39.0	77.5	105.0
SCO1744	NC_003888.3	1863882	1865045	+	1164	62.0	156.5	19.5	59.0	147.0	140.5	156.5	24.0	131.5	26.5	97.0	11.0	138.0	224.0	107.5	38.5	15.0	42.0	170.5	18.5	189.0	55.0
SCO1745	NC_003888.3	1865045	1865707	+	663	86.0	161.0	15.5	49.0	168.5	136.5	136.0	27.5	143.0	22.0	123.0	4.0	145.5	129.0	118.5	65.5	18.0	61.5	188.0	28.5	159.5	77.5
SCO1746	NC_003888.3	1865780	1866679	-	900	1684.0	871.0	125.0	233.0	1027.0	577.0	228.0	221.0	1147.0	199.0	1457.0	145.0	678.0	728.0	1550.0	740.0	103.0	759.0	567.0	97.0	639.0	7887.0
SCO1747	NC_003888.3	1866890	1867738	-	849	74.0	360.5	33.0	106.5	380.0	290.0	348.0	32.0	363.5	40.0	112.0	22.0	323.0	373.5	117.0	69.5	37.0	48.0	475.0	32.5	469.0	115.5
SCO1748	NC_003888.3	1867796	1868989	-	1194	357.0	165.5	149.0	163.5	132.0	121.0	185.0	78.0	173.5	91.0	155.0	200.0	142.0	367.5	138.0	125.5	160.0	115.0	295.0	162.5	234.0	468.5
SCO1749	NC_003888.3	1869279	1869716	+	438	4330.0	1677.0	807.0	923.0	1881.0	1361.0	1003.0	294.0	1876.0	371.0	1488.0	584.0	1578.0	542.0	1199.0	1717.0	1459.0	1283.0	1169.0	1331.0	832.0	4554.0
SCO1750	NC_003888.3	1869771	1870961	-	1191	163.0	746.0	44.0	268.0	785.0	579.5	579.0	85.0	805.0	127.0	473.0	28.0	615.0	370.0	485.0	360.0	160.0	342.5	855.0	123.0	553.0	273.0
SCO1751	NC_003888.3	1871320	1872921	-	1602	196.0	2186.0	63.0	215.0	2629.0	1940.5	1371.0	108.0	2274.0	95.0	558.0	55.0	1753.0	433.0	566.0	439.0	86.0	398.5	2318.0	69.0	1786.0	247.0
SCO1752	NC_003888.3	1873183	1874370	+	1188	31.0	51.0	18.0	88.0	81.0	91.0	61.0	29.0	87.0	40.0	50.0	20.0	88.0	252.0	62.0	25.0	26.0	18.0	131.0	31.0	129.0	50.0
SCO1753	NC_003888.3	1874625	1875644	+	1020	2724.0	997.0	291.0	591.0	875.0	703.0	520.0	180.0	815.0	258.0	541.0	276.0	739.0	605.0	654.0	418.0	355.0	511.0	661.0	376.0	661.0	2387.0
SCO1754	NC_003888.3	1875763	1875975	-	213	238.0	246.0	203.0	92.0	267.0	160.0	158.0	27.0	293.0	65.0	324.0	131.0	195.0	96.0	212.0	184.0	135.0	130.0	282.0	139.0	230.0	371.0
SCO1755	NC_003888.3	1876322	1877167	-	846	127.0	771.0	5.0	25.0	544.0	479.0	560.0	6.0	673.0	8.0	109.0	19.0	647.0	275.0	96.0	29.0	61.0	23.0	738.0	50.0	804.0	140.0
SCO1756	NC_003888.3	1877577	1878371	+	795	372.5	347.0	34.0	482.5	149.5	168.0	204.5	148.5	164.5	177.0	215.0	29.0	222.0	1065.5	251.0	163.0	164.0	132.0	238.5	159.0	159.5	446.5
SCO1757	NC_003888.3	1878448	1878738	+	291	318.5	91.0	4.0	232.5	44.5	41.0	40.5	88.5	49.5	86.0	58.0	8.0	60.0	288.5	135.0	55.0	57.0	73.0	59.5	47.0	75.5	346.5
SCO1758	NC_003888.3	1878823	1880298	-	1476	875.5	824.0	249.0	769.5	1071.0	1013.0	883.0	374.5	1025.5	333.5	503.0	263.0	907.0	1247.5	515.5	326.5	540.5	249.5	1502.5	587.5	673.5	1293.5
SCO1759	NC_003888.3	1880376	1881035	-	660	182.5	608.0	57.0	193.5	853.5	712.5	569.5	88.0	684.5	84.5	200.5	64.5	662.0	851.0	196.0	114.5	97.0	74.5	930.0	119.5	638.5	260.5
SCO1760	NC_003888.3	1881035	1881727	-	693	219.0	1098.0	108.0	283.0	1622.5	1260.5	931.5	224.5	1427.0	133.0	438.5	114.5	1243.0	1200.5	318.5	200.0	205.5	136.0	1445.5	262.0	842.0	313.0
SCO1761	NC_003888.3	1882018	1883100	-	1083	137.5	331.5	24.0	103.0	352.5	236.5	277.0	63.0	350.5	61.0	172.0	30.0	286.5	293.5	162.0	93.0	49.0	71.5	406.5	61.5	277.5	205.5
SCO1762	NC_003888.3	1883100	1883459	-	360	80.5	160.5	12.0	54.0	176.5	117.5	111.0	23.0	184.5	20.0	58.0	19.0	120.5	108.5	44.0	27.0	27.0	36.5	206.5	30.5	148.5	85.5
SCO1763	NC_003888.3	1883621	1884013	+	393	9.5	18.0	4.0	3.5	35.0	13.0	33.0	0.0	20.0	1.0	19.5	6.0	23.5	53.0	11.0	5.0	3.0	4.5	46.0	7.0	37.5	23.0
SCO1764	NC_003888.3	1884039	1884797	+	759	121.5	50.0	54.0	34.5	29.0	41.0	40.0	33.0	37.0	24.0	82.5	71.0	52.5	87.0	77.0	31.0	51.0	31.5	60.0	49.0	66.5	119.0
SCO1765	NC_003888.3	1884729	1885478	-	750	233.5	97.0	40.0	123.0	138.0	103.5	86.5	44.0	107.0	49.0	52.5	39.0	96.5	224.5	39.5	42.5	62.0	31.5	278.0	81.0	110.5	238.0
SCO1766	NC_003888.3	1885486	1886502	-	1017	255.5	96.0	12.0	41.0	74.5	50.5	89.0	14.0	93.5	4.5	70.0	10.0	54.0	174.5	37.0	20.0	38.0	17.0	92.0	36.5	68.0	259.5
SCO1767	NC_003888.3	1886502	1887218	-	717	158.0	152.0	2.0	21.0	142.5	71.0	79.5	11.0	94.5	6.5	38.5	3.0	69.5	108.0	43.5	15.5	8.0	4.5	114.0	22.5	95.5	163.5
SCO1768	NC_003888.3	1887315	1888427	-	1113	1093.0	2024.0	460.5	1081.0	2951.5	1641.0	1330.5	581.5	3077.0	544.5	1758.5	618.5	1972.0	1292.0	1447.5	936.5	821.5	883.5	2083.5	791.5	1322.0	1315.0
SCO1769	NC_003888.3	1888430	1889098	-	669	845.5	420.0	361.5	250.5	629.5	406.5	297.5	211.0	576.0	188.5	1166.5	665.0	461.5	391.5	731.5	582.0	528.5	333.5	477.0	584.5	315.0	916.5
SCO1770	NC_003888.3	1889098	1889889	-	792	137.5	124.0	25.0	65.5	119.0	97.5	80.0	32.5	92.0	37.0	93.0	32.5	127.5	87.5	114.0	68.5	46.0	39.0	171.5	45.0	76.0	169.5
SCO1771	NC_003888.3	1890424	1890978	-	555	186.0	3145.0	97.0	349.5	2760.0	2258.5	2318.0	96.5	2873.5	101.5	504.5	113.0	2347.5	1100.0	480.0	422.0	97.5	293.0	3210.0	121.0	3341.5	204.0
SCO1772	NC_003888.3	1890978	1891997	-	1020	4283.0	12351.0	1595.0	4605.5	13688.0	10582.5	6803.0	1610.5	14272.5	2258.5	7440.5	1748.0	10923.5	5485.0	6795.0	5898.0	2239.5	6160.0	9848.0	2342.0	7965.5	4284.0
SCO1773	NC_003888.3	1892496	1893608	-	1113	539.0	1043.0	1261.0	7673.0	936.0	551.0	819.0	5379.0	1204.0	5848.0	838.0	1543.0	748.0	17112.0	626.0	590.0	9222.0	567.0	1408.0	8693.0	955.0	948.0
SCO1774	NC_003888.3	1893754	1895799	-	2046	819.0	303.0	80.0	171.0	270.0	238.0	271.0	134.0	345.0	78.0	249.0	87.0	234.0	696.0	223.0	91.0	107.0	92.0	305.0	115.0	366.0	735.0
SCO1775	NC_003888.3	1895951	1896583	-	633	481.5	434.0	221.0	918.0	695.0	660.0	577.0	344.0	564.0	420.0	366.0	193.0	594.0	714.5	349.0	251.0	283.0	285.5	880.0	241.0	374.5	600.5
SCO1776	NC_003888.3	1896674	1898320	-	1647	901.5	643.0	288.0	681.0	1137.0	722.0	550.0	276.0	1016.0	268.0	341.0	297.0	698.0	834.5	315.0	232.0	589.0	197.5	990.0	574.0	447.5	1233.5
SCO1777	NC_003888.3	1898870	1900705	+	1836	1123.0	1498.0	147.0	591.0	1570.0	1480.0	1231.0	367.0	1424.0	299.0	1051.0	122.0	1492.0	1064.0	1092.0	716.0	402.0	488.0	2008.0	385.0	827.0	1194.0
SCO1778	NC_003888.3	1901295	1902938	+	1644	41.0	318.0	11.0	48.0	237.0	168.0	264.0	18.0	220.0	18.0	116.0	17.0	199.0	317.0	113.0	60.0	26.0	41.0	345.0	17.0	340.0	67.0
SCO1779	NC_003888.3	1902967	1904169	-	1203	421.0	663.0	23.0	57.0	811.0	600.0	453.0	30.0	758.0	55.0	268.0	32.0	659.0	380.0	336.0	167.0	129.0	130.0	881.0	126.0	679.0	359.0
SCO1780	NC_003888.3	1904443	1906158	-	1716	681.0	1196.0	127.0	593.0	1182.0	1159.0	1210.0	177.0	1216.0	344.0	733.0	154.0	1218.0	1075.0	727.0	561.0	202.0	362.0	1953.0	231.0	1488.0	756.0
SCO1781	NC_003888.3	1906326	1907228	-	903	381.5	525.5	106.0	393.5	679.0	549.5	542.0	118.5	650.5	109.5	396.5	101.5	588.0	502.0	342.5	274.0	102.5	247.5	673.0	86.0	570.0	515.0
SCO1782	NC_003888.3	1907228	1908040	-	813	619.0	440.5	147.5	225.0	610.5	488.0	331.5	92.0	585.5	140.0	329.0	153.5	441.5	397.5	261.5	285.5	191.5	238.5	527.5	164.0	335.5	749.5
SCO1783	NC_003888.3	1908051	1908395	-	345	28.5	188.0	19.5	84.5	92.5	92.5	86.5	37.5	128.0	48.5	25.5	20.0	76.5	195.5	19.0	32.5	9.0	14.0	159.5	10.0	124.5	32.5
SCO1784	NC_003888.3	1908438	1908782	+	345	447.0	157.0	39.0	44.0	316.0	180.0	108.0	57.0	257.0	31.0	347.0	32.0	226.0	74.0	386.0	113.0	59.0	116.0	221.0	61.0	126.0	560.0
SCO1785	NC_003888.3	1908772	1909674	-	903	270.0	16.5	359.0	1840.5	16.0	16.0	29.0	887.0	26.5	777.5	49.0	397.5	29.5	2137.0	63.5	26.5	151.0	16.0	22.0	130.0	13.0	204.0
SCO1786	NC_003888.3	1909674	1910798	-	1125	256.75	28.5	405.5	1262.0	25.0	29.5	28.0	418.0	19.0	501.5	61.5	366.5	25.5	1709.0	79.0	22.5	132.5	27.0	26.5	125.0	57.0	237.5
SCO1787	NC_003888.3	1910798	1911841	-	1044	229.25	91.0	389.5	1039.5	147.0	74.5	84.0	358.0	141.5	390.0	50.5	425.0	114.0	2256.0	102.5	29.0	62.5	32.0	147.5	73.0	66.0	278.5
SCO1788	NC_003888.3	1911989	1913017	-	1029	224.0	792.0	112.0	301.0	963.0	632.0	629.0	87.0	852.0	127.0	526.0	80.0	629.0	363.0	320.0	341.0	115.0	189.0	1015.0	146.0	990.0	306.0
SCO1789	NC_003888.3	1913090	1914379	+	1290	132.0	213.0	147.0	298.0	259.0	194.0	130.0	102.0	240.0	128.0	180.0	157.0	146.0	667.0	150.0	91.0	118.0	69.0	177.0	123.0	206.0	204.0
SCO1790	NC_003888.3	1914471	1915100	-	630	166.0	160.5	52.5	182.5	170.5	161.0	186.5	67.5	145.5	52.0	144.0	41.5	192.0	245.5	127.0	84.0	78.0	68.0	311.0	91.0	109.0	188.5
SCO1791	NC_003888.3	1915100	1916356	-	1257	305.0	402.5	113.5	451.5	381.5	479.0	550.5	156.5	402.5	127.0	234.0	119.5	454.0	635.5	228.0	199.0	178.0	121.0	594.0	227.0	359.0	458.5
SCO1792	NC_003888.3	1922131	1922769	-	639	325.0	309.0	54.0	68.0	224.0	160.0	304.0	33.0	264.0	35.0	128.0	49.0	185.0	98.0	120.0	61.0	60.0	86.0	379.0	35.0	170.0	407.0
SCO1793	NC_003888.3	1922916	1923695	+	780	1748.0	415.5	371.5	1413.0	624.5	675.0	673.0	665.5	445.0	794.0	367.0	421.5	690.0	548.5	473.5	596.0	1148.5	674.0	1057.5	991.0	351.0	1758.0
SCO1794	NC_003888.3	1923750	1924286	+	537	1091.0	1149.5	265.5	883.0	1053.5	784.0	1206.0	289.5	1034.0	530.0	737.0	218.5	785.0	892.5	626.5	459.0	402.5	512.0	1575.5	396.0	706.0	1099.0
SCO1795	NC_003888.3	1924446	1924949	+	504	2230.0	842.0	374.0	199.0	507.0	399.0	639.0	100.0	527.0	88.0	750.0	344.0	550.0	195.0	705.0	416.0	428.0	388.0	919.0	417.0	584.0	2839.0
SCO1796	NC_003888.3	1925097	1926053	-	957	3088.0	3966.0	893.0	1333.0	4501.0	2532.0	1609.0	718.0	5060.0	875.0	2014.0	1103.0	2945.0	3134.0	2038.0	1269.0	2847.0	1340.0	2299.0	2893.0	2500.0	3736.0
SCO1797	NC_003888.3	1926234	1926662	-	429	1230.0	2864.5	659.5	1328.5	2783.0	2131.5	1525.0	535.5	3001.0	530.5	2334.0	526.0	2272.5	2494.0	1620.5	1443.5	1082.0	1070.5	2795.5	1208.0	2050.0	1586.0
SCO1798	NC_003888.3	1926720	1927514	-	795	1101.0	1595.5	482.5	1805.5	2009.0	1388.5	1313.0	787.5	2067.0	1101.5	916.0	474.0	1366.5	2485.0	867.5	590.5	786.0	634.5	1958.5	781.0	1183.0	1171.0
SCO1799	NC_003888.3	1927668	1928444	+	777	63.0	43.0	15.0	34.0	70.0	39.0	38.0	18.0	49.0	21.0	56.0	15.0	49.0	106.0	68.0	26.0	12.0	25.0	48.0	6.0	106.0	75.0
SCO1800	NC_003888.3	1928596	1928841	-	246	5140.0	550.0	211.0	6081.0	181.0	289.0	763.0	3740.0	187.0	4418.0	116.0	270.0	503.0	18024.0	562.0	275.0	1875.0	315.0	669.0	2535.0	75.0	5847.0
SCO1801	NC_003888.3	1929014	1929643	-	630	281.0	598.5	129.5	159.5	552.5	436.0	431.5	28.0	557.0	58.5	168.5	127.0	394.5	348.5	219.5	134.0	48.5	127.0	718.0	47.5	459.5	284.5
SCO1802	NC_003888.3	1929648	1930823	-	1176	554.0	833.5	277.5	168.5	793.5	663.0	588.5	67.0	906.0	62.5	391.5	269.0	666.5	508.5	298.5	170.0	103.5	143.0	1022.0	126.5	660.5	410.5
SCO1803	NC_003888.3	1931041	1931733	+	693	115.0	5.0	63.5	13.5	14.5	6.0	19.5	0.0	15.0	3.0	15.0	92.5	10.0	83.5	22.5	5.0	5.0	6.0	28.0	2.0	48.5	85.5
SCO1804	NC_003888.3	1931736	1932809	+	1074	71.0	6.0	88.5	7.5	5.5	10.0	14.5	2.0	5.0	3.0	16.0	183.5	18.0	109.5	32.5	12.0	6.0	7.0	38.0	4.0	73.5	91.5
SCO1805	NC_003888.3	1933166	1933897	+	732	79.0	17.0	14.0	2.0	38.0	12.0	3.0	0.0	48.0	0.0	31.0	25.0	21.0	56.0	33.0	6.0	40.0	10.0	6.0	56.0	28.0	79.0
SCO1806	NC_003888.3	1934030	1936657	-	2628	2749.0	1818.0	576.0	2486.0	2302.0	2497.0	1982.0	886.0	2036.0	1162.0	1806.0	888.0	2520.0	2683.0	2008.0	1750.0	1131.0	1819.0	2780.0	1003.0	1640.0	2930.0
SCO1807	NC_003888.3	1936844	1938895	+	2052	225.0	362.0	26.0	93.0	259.0	368.0	436.0	35.0	295.0	27.0	182.0	22.0	350.0	354.0	297.0	132.0	42.0	128.0	699.0	70.0	439.0	198.0
SCO1808	NC_003888.3	1939010	1940239	+	1230	365.0	952.0	112.0	452.0	1189.0	885.0	873.0	91.0	1114.0	217.0	303.0	87.0	839.0	639.0	201.0	169.0	168.0	169.0	1310.0	161.0	901.0	439.0
SCO1809	NC_003888.3	1940317	1940832	-	516	665.0	2140.0	240.0	1013.0	2135.0	1265.0	1205.0	323.0	2394.0	551.0	963.0	251.0	1239.0	1397.0	822.5	544.0	420.0	563.0	2035.0	432.0	1374.0	839.5
SCO1810	NC_003888.3	1940928	1941131	-	204	539.0	265.0	171.0	114.0	437.0	401.0	194.0	76.0	423.0	78.0	327.0	117.0	351.0	348.0	235.5	102.0	160.0	99.0	324.0	194.0	229.0	504.5
SCO1811	NC_003888.3	1941318	1941431	-	114	291.0	177.0	52.0	253.0	320.0	201.0	155.0	94.0	292.0	296.0	224.0	45.0	236.0	137.0	257.0	130.0	94.0	175.0	279.0	99.0	205.0	339.0
SCO1812	NC_003888.3	1941519	1942781	-	1263	62.0	158.0	33.0	39.0	141.0	99.0	100.0	14.0	115.0	24.0	80.0	36.0	130.0	227.0	85.0	43.0	79.0	23.0	183.0	80.0	136.0	103.0
SCO1813	NC_003888.3	1942957	1943646	+	690	118.0	115.0	25.0	31.0	95.0	61.0	71.0	24.0	99.0	9.0	78.0	22.0	107.0	122.0	74.0	27.0	86.0	23.0	52.0	79.0	65.0	125.0
SCO1814	NC_003888.3	1943741	1944505	-	765	1091.5	757.5	487.0	2594.5	1566.5	2831.0	1367.0	894.0	1260.5	1192.0	1226.0	385.0	2984.0	2815.0	1074.0	1030.0	773.5	981.0	1973.0	670.0	829.5	1352.0
SCO1815	NC_003888.3	1944514	1945215	-	702	944.5	552.5	386.0	2324.5	1296.5	1843.0	964.0	733.0	994.5	1388.0	883.0	408.0	2030.0	1738.0	927.0	832.0	498.5	752.0	1570.0	525.0	564.5	1331.0
SCO1816	NC_003888.3	1945493	1947013	+	1521	112.5	306.0	116.0	216.0	216.5	225.0	223.0	86.0	190.5	111.5	141.5	87.5	245.0	350.5	164.5	116.0	64.0	110.0	354.5	64.5	265.0	190.5
SCO1817	NC_003888.3	1947013	1948404	+	1392	106.0	194.0	108.0	152.0	184.5	192.0	217.5	36.0	140.0	40.5	128.0	103.0	217.0	315.0	129.0	92.0	67.0	40.0	334.0	63.0	202.5	159.0
SCO1818	NC_003888.3	1948453	1949718	+	1266	1056.5	945.0	509.0	1036.0	1201.0	1147.0	1152.5	470.0	1184.5	669.0	1511.5	490.5	1131.0	1100.5	1436.5	741.0	321.0	845.0	1819.5	335.5	954.5	1094.5
SCO1819	NC_003888.3	1949815	1950093	-	279	1223.0	27.0	8.0	16.0	22.0	32.0	27.0	2.0	17.0	5.0	17.0	12.0	26.0	62.0	23.0	6.0	8.0	2.0	39.0	19.0	47.0	1270.0
SCO1820	NC_003888.3	1950275	1950751	+	477	205.0	66.0	88.0	331.0	135.0	88.0	127.0	130.0	106.0	122.0	113.0	94.0	135.0	198.0	115.0	85.0	105.0	73.0	233.0	82.0	138.0	341.0
SCO1821	NC_003888.3	1951223	1952245	-	1023	965.0	6395.0	530.0	1077.0	6066.0	3399.0	4068.0	226.0	6800.0	377.0	2038.0	520.0	3687.0	1258.0	1632.0	986.0	449.0	1061.0	6009.0	521.0	3848.0	1047.0
SCO1822	NC_003888.3	1952381	1954012	-	1632	354.5	499.0	36.0	97.5	392.5	616.5	656.5	53.0	397.0	69.0	316.5	36.0	992.0	264.0	402.5	253.0	138.0	255.0	567.5	149.5	341.5	684.5
SCO1823	NC_003888.3	1954012	1954383	-	372	144.5	35.0	3.0	13.5	62.5	53.5	56.5	7.0	41.0	5.0	28.5	3.0	118.0	7.0	39.5	49.0	33.0	49.0	59.5	13.5	21.5	369.5
SCO1824	NC_003888.3	1954737	1956272	+	1536	1338.0	3608.5	396.0	685.0	2206.5	2090.0	2492.5	279.0	2509.5	410.0	2010.5	497.5	2476.0	1641.5	2222.5	1949.0	382.5	1803.0	3545.5	555.0	2514.0	3266.5
SCO1825	NC_003888.3	1956291	1956926	+	636	75.0	197.0	13.5	42.5	133.0	140.5	130.0	21.5	133.0	17.0	108.0	14.0	133.5	93.5	121.5	99.5	16.5	81.0	223.5	12.5	148.5	146.0
SCO1826	NC_003888.3	1956980	1957984	+	1005	75.0	171.5	11.5	62.5	103.5	98.5	140.5	19.5	119.5	17.0	68.5	22.5	132.5	202.0	75.0	32.5	20.0	35.0	259.0	25.5	166.5	100.5
SCO1827	NC_003888.3	1958139	1959122	+	984	356.0	434.0	141.5	384.5	452.5	441.5	485.0	109.0	391.5	159.0	297.5	126.5	443.0	602.5	308.5	197.0	129.0	205.5	666.0	121.0	347.0	460.0
SCO1828	NC_003888.3	1959189	1959419	+	231	837.0	53.5	20.5	38.0	63.5	37.5	33.5	17.0	55.0	17.0	64.5	18.0	60.5	73.5	67.5	30.5	34.0	29.5	68.0	26.0	45.0	717.0
SCO1829	NC_003888.3	1959486	1960355	+	870	484.0	884.5	500.0	1069.5	1955.5	1562.0	937.5	319.0	1630.0	598.5	845.0	460.0	1393.0	1335.5	584.5	556.0	505.0	414.5	1312.5	554.0	817.5	666.5
SCO1830	NC_003888.3	1960424	1962208	+	1785	171.5	119.0	64.5	65.0	201.5	156.5	103.0	27.0	201.0	26.5	110.0	43.0	171.0	231.5	84.5	36.5	64.5	24.5	205.0	37.5	157.0	272.0
SCO1831	NC_003888.3	1962217	1962969	+	753	55.5	285.0	12.5	80.0	235.0	214.5	359.0	28.0	280.5	27.0	60.0	2.5	182.5	297.0	82.0	26.0	21.5	30.0	474.5	14.5	401.5	100.5
SCO1832	NC_003888.3	1963010	1963594	-	585	111.0	479.5	15.0	77.5	310.5	380.5	330.0	33.5	319.0	19.0	133.5	9.5	392.5	336.5	139.5	87.5	30.0	75.0	525.5	35.0	398.5	150.0
SCO1833	NC_003888.3	1963594	1964112	-	519	35.0	362.5	4.0	37.5	254.5	347.5	319.0	6.5	238.0	20.0	54.5	7.5	307.5	350.5	62.5	33.5	4.0	23.0	577.5	6.0	370.5	46.0
SCO1834	NC_003888.3	1964271	1964651	-	381	265.0	359.0	28.5	214.0	281.5	309.0	355.0	49.5	300.0	93.5	323.0	30.5	392.5	488.0	315.0	320.0	65.0	175.5	492.5	61.5	444.5	284.5
SCO1835	NC_003888.3	1964651	1964833	-	183	384.0	154.0	37.0	201.5	331.5	295.5	156.5	77.5	260.5	66.5	243.5	34.5	302.5	116.0	278.0	264.5	82.5	278.0	210.5	50.0	157.5	359.0
SCO1836	NC_003888.3	1964899	1965378	-	480	995.0	534.0	113.5	489.5	903.0	702.5	402.5	140.0	845.5	201.0	628.5	176.0	839.0	342.0	493.0	1121.5	301.5	698.5	625.0	238.5	612.0	1259.5
SCO1837	NC_003888.3	1965466	1966251	+	786	13.0	40.0	1.0	4.0	40.0	31.0	71.0	0.0	22.0	0.0	12.0	5.0	35.0	72.0	21.0	8.0	2.0	3.0	81.0	3.0	112.0	13.0
SCO1838	NC_003888.3	1966278	1967078	-	801	737.0	9967.0	267.0	1506.0	8777.0	6862.0	5351.0	320.0	9998.0	409.0	1557.0	177.0	6499.0	5687.0	1390.0	2124.0	516.0	1445.0	7903.0	610.0	7356.0	970.0
SCO1839	NC_003888.3	1967239	1967457	-	219	15162.0	10869.0	632.0	12203.0	9294.0	6512.0	6550.0	3979.0	9901.0	8395.0	28793.0	480.0	7183.0	4421.0	42703.0	22163.0	1810.0	25422.0	10651.0	1755.0	10877.0	13822.0
SCO1840	NC_003888.3	1967797	1969392	-	1596	1195.0	1527.0	313.0	726.0	1956.0	873.0	1063.0	363.0	1977.0	284.0	1156.0	428.0	884.0	975.0	855.0	496.0	703.0	479.0	1906.0	662.0	1526.0	1516.0
SCO1841	NC_003888.3	1969468	1970049	+	582	518.0	1473.0	257.0	786.0	1529.0	999.0	904.0	234.0	1689.0	271.0	1295.0	204.0	1108.0	509.0	1103.0	806.0	158.0	757.0	1390.0	177.0	1170.0	503.0
SCO1842	NC_003888.3	1970088	1971428	-	1341	70.0	704.0	15.0	180.0	472.0	437.0	1001.0	35.0	448.0	97.0	141.0	28.0	437.0	693.0	149.0	88.0	36.0	75.0	1592.0	37.0	915.0	90.0
SCO1843	NC_003888.3	1971756	1972880	-	1125	93.0	371.0	10.0	21.0	268.0	208.0	317.0	12.0	324.0	12.0	76.0	13.0	210.0	281.0	85.0	48.0	14.0	26.0	564.0	27.0	387.0	107.0
SCO1844	NC_003888.3	1972998	1973717	-	720	35.0	410.0	12.0	91.0	382.0	350.0	413.0	18.0	382.0	30.0	133.0	17.0	308.0	202.0	107.0	80.0	23.0	70.0	542.0	21.0	391.0	49.0
SCO1845	NC_003888.3	1973943	1975211	+	1269	1127.0	726.5	145.0	286.5	1040.5	684.5	414.0	133.0	1290.5	190.0	721.0	158.0	727.0	709.0	766.0	265.0	135.0	357.0	865.0	116.5	604.0	1716.0
SCO1846	NC_003888.3	1975249	1975467	+	219	50.0	56.5	3.0	19.5	112.5	52.5	52.0	6.0	127.5	19.0	42.0	8.0	57.0	63.0	47.0	23.0	4.0	29.0	103.0	4.5	68.0	73.0
SCO1847	NC_003888.3	1975869	1976849	+	981	318.5	941.5	98.0	284.5	627.0	359.5	485.5	47.5	647.0	104.5	177.0	104.0	395.5	1182.5	166.5	164.5	78.0	133.5	971.5	95.5	1031.0	382.5
SCO1848	NC_003888.3	1976849	1978354	+	1506	329.5	823.0	387.0	809.0	996.5	481.0	618.5	210.5	836.0	309.0	443.0	380.5	446.5	1376.5	410.0	549.0	405.5	350.0	1065.0	411.0	959.5	566.0
SCO1849	NC_003888.3	1978354	1982004	+	3651	687.0	2431.5	886.5	3203.0	2896.5	2192.5	2684.5	783.0	2140.0	1091.0	1237.5	946.0	2037.5	4380.5	1198.5	1456.5	1139.5	1279.5	4667.5	1361.5	2478.5	1473.5
SCO1850	NC_003888.3	1982004	1984019	+	2016	166.5	1006.0	247.0	861.5	792.5	1051.5	1314.0	199.5	681.0	241.0	313.0	289.0	987.5	2163.5	293.5	420.0	262.5	297.0	1745.0	332.0	1101.0	392.0
SCO1851	NC_003888.3	1984022	1984618	+	597	308.0	619.0	381.5	1119.0	428.5	709.5	576.0	268.0	450.0	395.5	389.0	390.5	704.0	704.5	408.5	752.5	515.5	739.0	710.5	512.0	433.5	588.5
SCO1852	NC_003888.3	1984618	1986075	+	1458	239.0	588.5	444.0	956.0	407.5	581.0	522.0	268.0	433.0	295.0	347.0	421.5	700.5	1085.0	284.5	442.5	465.5	340.5	701.5	435.5	518.0	631.0
SCO1853	NC_003888.3	1986075	1986803	+	729	86.5	375.5	161.0	280.0	196.5	251.0	269.5	49.5	240.0	93.0	118.5	125.5	296.5	535.5	98.5	121.0	156.5	85.5	406.0	122.5	287.5	206.5
